timestamp,active_power,reactive_power,current_r,current_s,current_t,voltage_rs,voltage_st,voltage_tr
2023-10-01 01:03:00+00:00,17379.72109375,-26052.189453125,99.1388397,104.19166867999999,68.76470798,234447.525,234986.715625,234824.971875
2023-10-01 01:04:00+00:00,18480.637565104167,-26052.189453125,99.1388397,103.87657570666667,70.75983737333334,234480.66875,235036.46458333332,234835.72291666668
2023-10-01 01:05:00+00:00,19581.554036458332,-26052.189453125,99.1388397,103.56148273333334,72.75496676666667,234513.8125,235086.21354166666,234846.47395833334
2023-10-01 01:06:00+00:00,20682.470507812497,-26052.189453125,99.1388397,103.24638976,74.75009616,234546.95625,235135.9625,234857.225
2023-10-01 01:07:00+00:00,21783.386979166666,-26052.189453125,99.1388397,102.93129678666666,76.74522555333334,234580.1,235185.71145833333,234867.97604166667
2023-10-01 01:08:00+00:00,22884.303450520834,-26052.189453125,99.1388397,102.61620381333333,78.74035494666667,234613.24375,235235.46041666667,234878.72708333333
2023-10-01 01:09:00+00:00,23985.219921875,-26052.189453125,99.1388397,102.30111083999999,80.73548434,234646.3875,235285.209375,234889.478125
2023-10-01 01:10:00+00:00,25086.136393229164,-26052.189453125,99.1388397,101.98601786666666,82.73061373333334,234679.53125,235334.95833333334,234900.22916666666
2023-10-01 01:11:00+00:00,26187.052864583333,-26052.189453125,99.1388397,101.67092489333332,84.72574312666667,234712.675,235384.70729166668,234910.98020833332
2023-10-01 01:12:00+00:00,27287.969335937498,-26052.189453125,99.1388397,101.35583192,86.72087252,234745.81875,235434.45625,234921.73125
2023-10-01 01:13:00+00:00,28388.885807291663,-26052.189453125,99.1388397,101.04073894666666,88.71600191333333,234778.9625,235484.20520833333,234932.48229166667
2023-10-01 01:14:00+00:00,29489.80227864583,-26052.189453125,99.1388397,100.72564597333333,90.71113130666667,234812.10625,235533.95416666666,234943.23333333334
2023-10-01 01:15:00+00:00,30590.71875,-26052.189453125,99.1388397,100.410553,92.7062607,234845.25,235583.703125,234953.984375
2023-10-01 01:16:00+00:00,30447.350651041666,-26033.413020833334,98.73377683333334,100.35171713999999,92.39744264666666,234857.0875,235583.703125,234941.79895833333
2023-10-01 01:17:00+00:00,30303.982552083333,-26014.636588541667,98.32871396666667,100.29288127999999,92.08862459333334,234868.925,235583.703125,234929.61354166668
2023-10-01 01:18:00+00:00,30160.614453125,-25995.86015625,97.9236511,100.23404542,91.77980654,234880.7625,235583.703125,234917.428125
2023-10-01 01:19:00+00:00,30017.246354166666,-25977.083723958334,97.51858823333333,100.17520956,91.47098848666667,234892.6,235583.703125,234905.24270833333
2023-10-01 01:20:00+00:00,29873.878255208332,-25958.307291666668,97.11352536666666,100.1163737,91.16217043333333,234904.4375,235583.703125,234893.05729166666
2023-10-01 01:21:00+00:00,29730.51015625,-25939.530859375,96.7084625,100.05753784,90.85335238,234916.275,235583.703125,234880.871875
2023-10-01 01:22:00+00:00,29587.14205729167,-25920.754427083335,96.30339963333333,99.99870197999999,90.54453432666666,234928.1125,235583.703125,234868.68645833334
2023-10-01 01:23:00+00:00,29443.773958333335,-25901.977994791665,95.89833676666667,99.93986612,90.23571627333334,234939.95,235583.703125,234856.50104166666
2023-10-01 01:24:00+00:00,29300.405859375,-25883.2015625,95.4932739,99.88103026,89.92689822,234951.7875,235583.703125,234844.315625
2023-10-01 01:25:00+00:00,29157.037760416668,-25864.425130208332,95.08821103333334,99.8221944,89.61808016666667,234963.625,235583.703125,234832.13020833334
2023-10-01 01:26:00+00:00,29013.669661458334,-25845.648697916666,94.68314816666667,99.76335854,89.30926211333333,234975.4625,235583.703125,234819.94479166667
2023-10-01 01:27:00+00:00,28870.3015625,-25826.872265625,94.2780853,99.70452268,89.00044406,234987.3,235583.703125,234807.759375
2023-10-01 01:28:00+00:00,28726.933463541667,-25808.095833333333,93.87302243333333,99.64568682000001,88.69162600666667,234999.1375,235583.703125,234795.57395833332
2023-10-01 01:29:00+00:00,28583.565364583334,-25789.319401041666,93.46795956666666,99.58685096,88.38280795333333,235010.975,235583.703125,234783.38854166667
2023-10-01 01:30:00+00:00,28440.197265625,-25770.54296875,93.0628967,99.5280151,88.0739899,235022.8125,235583.703125,234771.203125
2023-10-01 01:31:00+00:00,27703.662239583333,-25337.91484375,90.30515261333333,99.5280151,88.02415164,235012.534375,235585.55625,234787.90104166666
